id,componenttype,contentrole,content,componentsectionid,questionid,ordering,assetid
24,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_04_dudh_origen.png,1,4,24,ddhh_04_dudh_origen
25,Paragraph,,"La DUDH: proclamada por la ONU en 1948, tras la Segunda Guerra Mundial. 30 artículos.",1,4,25,
26,Multiple Choice Question,,,1,4,26,
27,Paragraph,,"La Declaración Universal de los Derechos Humanos fue proclamada por la Asamblea General de las Naciones Unidas el 10 de diciembre de 1948, en París, tras los horrores de la Segunda Guerra Mundial. Surge para evitar que se repitan vulneraciones masivas a la dignidad humana y establece, en 30 artículos, un estándar común de derechos para todas las personas y naciones. Es el documento fundacional del sistema internacional de Derechos Humanos y la base sobre la que se construyeron tratados y marcos posteriores, incluidos los que hoy orientan la conducta responsable de las empresas, como Minsur.",1,4,27,
28,Paragraph,,"B, C y E atribuyen la Declaración a actores sin ese alcance (empresas, gobiernos locales o sindicatos); su valor radica en ser un acuerdo internacional de la ONU. D confunde una declaración de principios con una sentencia judicial.",1,4,28,
29,Paragraph,Exercise,"Identifica el origen, el autor (ONU) y el contexto histórico (posguerra, 1948) de la DUDH.",1,4,29,
30,Paragraph,Source,Naciones Unidas — Declaración Universal de los Derechos Humanos (1948).,1,4,30,
31,Heading,Heading,1.3 Igualdad y no discriminación,1,,31,
32,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_05_igualdad_no_discriminacion.png,1,5,32,ddhh_05_igualdad_no_discriminacion
33,Paragraph,,Igualdad y no discriminación: trato equitativo sin distinción por condiciones personales.,1,5,33,
34,Multiple Choice Question,,,1,5,34,
35,Paragraph,,"La igualdad y no discriminación es un principio central de los DDHH: todas las personas deben recibir un trato equitativo, sin distinciones por características personales como raza, sexo, religión, opinión política, origen, edad, discapacidad u orientación. Es clave diferenciar la discriminación —prohibida— de las distinciones legítimas basadas en criterios objetivos del trabajo, como el desempeño real, las competencias o la seguridad. En Minsur, lo prohibido es tratar distinto a alguien por lo que es; no lo es, en cambio, organizar el trabajo o reconocer el mérito con criterios objetivos y aplicados por igual a todos.",1,5,35,
36,Paragraph,,"B, C, D y E describen criterios legítimos y objetivos del ámbito laboral (desempeño, seguridad, competencias, organización del trabajo). Distinguir por estos factores no es discriminación; la discriminación se basa en condiciones personales protegidas, como en la opción correcta.",1,5,36,
37,Paragraph,Exercise,Distingue la discriminación prohibida de las distinciones laborales legítimas y objetivas.,1,5,37,
38,Paragraph,Source,"DUDH, Art. 1, 2 y 7; Convenios de la OIT sobre no discriminación en el empleo (C111).",1,5,38,
39,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_06_trabajo_forzoso.png,1,6,39,ddhh_06_trabajo_forzoso
40,Paragraph,,El trabajo forzoso está prohibido: toda labor debe ser libre y la persona debe poder retirarse.,1,6,40,
41,Multiple Choice Question,,,1,6,41,
42,Paragraph,,"El trabajo forzoso es todo trabajo o servicio exigido a una persona bajo amenaza de una pena y para el cual no se ha ofrecido voluntariamente. Su prohibición es absoluta: la labor debe ser libremente aceptada y la persona debe poder ponerle fin. Señales de alerta incluyen retención de documentos, deudas inducidas, restricción de movimiento o jornadas impuestas bajo coacción. En la minería, este riesgo puede aparecer sobre todo en la cadena de contratistas y proveedores, por lo que Minsur debe vigilarlo también fuera de su personal directo, no solo de puertas adentro.",1,6,42,
43,Paragraph,,"B confunde la libertad del trabajo con su permanencia. C limita falsamente la prohibición a menores: protege a todas las personas. D la trata como opcional, cuando es una prohibición internacional absoluta. E es incorrecto: puede haber trabajo forzoso aun existiendo contrato, si media coacción.",1,6,43,
44,Paragraph,Exercise,Reconoce el contenido de la prohibición del trabajo forzoso y sus señales de alerta en la cadena.,1,6,44,
45,Paragraph,Source,"Convenios de la OIT sobre trabajo forzoso (C29 y C105); DUDH, Art. 4.",1,6,45,
46,Heading,Heading,1.4 Tipos y evolución de los derechos (incl. ambientales),1,,46,
47,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_07_tipos_evolucion.png,1,7,47,ddhh_07_tipos_evolucion
48,Paragraph,,"Los derechos evolucionan: civiles, políticos, sociales, culturales y ambientales.",1,7,48,
49,Multiple Choice Question,,,1,7,49,
50,Paragraph,,"Los Derechos Humanos no son una lista cerrada: han evolucionado en el tiempo. Junto a los derechos civiles y políticos (vida, libertad, igualdad), se reconocen derechos económicos, sociales y culturales —como la salud, la educación, el trabajo digno— y, más recientemente, derechos ligados a un medio ambiente sano. Todos son interdependientes. Para una minera como Minsur, esta visión amplia es esencial: su actividad puede incidir en la salud, el acceso al agua o el ambiente de las comunidades, derechos tan exigibles como los civiles, y por ello deben integrarse en la gestión de impactos.",1,7,50,
51,Paragraph,,"B reduce los DDHH solo a lo civil y político, ignorando su evolución. C y E los confunden con beneficios o ingresos, negando su carácter inherente. D condiciona su existencia a un reglamento, cuando los DDHH preceden y obligan a cualquier norma interna.",1,7,51,
52,Paragraph,Exercise,"Reconoce los tipos y la evolución de los derechos, incluidos los sociales y ambientales.",1,7,52,
53,Paragraph,Source,"Pacto Internacional de Derechos Económicos, Sociales y Culturales (PIDESC); DUDH, Art. 22-27.",1,7,53,
54,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_08_derechos_ambientales.png,1,8,54,ddhh_08_derechos_ambientales
55,Paragraph,,El derecho a un medio ambiente sano se vulnera por contaminación o residuos sin control.,1,8,55,
56,Multiple Choice Question,,,1,8,56,
57,Paragraph,,"Un medio ambiente sano es condición para ejercer otros derechos, como la salud, el agua o la alimentación. Se vulnera cuando una operación contamina el aire, el agua o el suelo, o gestiona mal sus residuos, afectando a las personas y a sus medios de vida. En minería este vínculo es directo: el polvo, el manejo del agua o los relaves pueden impactar a comunidades vecinas. Por eso Minsur debe identificar y controlar estos impactos como parte de su debida diligencia, entendiéndolos no solo como un asunto ambiental, sino como un posible impacto a derechos de las personas.",1,8,57,
58,Paragraph,,"B, C, D y E describen decisiones operativas o de gestión (eficiencia, proveedores, plazos, turnos) que no vulneran por sí mismas un derecho ambiental. La vulneración surge de la afectación real al entorno y a las personas, como en la opción correcta.",1,8,58,
59,Paragraph,Exercise,Identifica una vulneración al derecho a un medio ambiente sano y su vínculo con otros derechos.,1,8,59,
60,Paragraph,Source,"Resolución ONU 76/300 sobre el derecho a un medio ambiente limpio, saludable y sostenible; DUDH, Art. 25.",1,8,60,
61,Heading,Heading,"1.1 Definición y características (universalidad, dignidad)",1,,61,
62,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_09_derecho_vida.png,1,9,62,ddhh_09_derecho_vida
63,Paragraph,,Exponer a personas a riesgos graves y evitables vulnera su derecho a la vida e integridad.,1,9,63,
64,Multiple Choice Question,,,1,9,64,
65,Paragraph,,"El derecho a la vida y a la integridad personal es uno de los más fundamentales. En una operación minera se vulnera cuando se expone a las personas a peligros graves y evitables —trabajar sin protección frente a un riesgo conocido, omitir controles de seguridad o ignorar una condición insegura—. Aquí los Derechos Humanos y la seguridad ocupacional se encuentran: garantizar condiciones seguras para colaboradores y contratistas no es solo cumplimiento normativo, es respetar su derecho a la vida y a la salud. Lo determinante es si la exposición al riesgo era evitable y no se gestionó.",1,9,65,
66,Paragraph,,"B, C, D y E describen decisiones administrativas u operativas (reportes, presupuesto, cronograma, turnos) que no afectan en sí mismas la vida o la integridad. La vulneración se configura por la exposición a un riesgo grave y evitable, como en la opción correcta.",1,9,66,
67,Paragraph,Exercise,Identifica la exposición a riesgos evitables como vulneración del derecho a la vida e integridad.,1,9,67,
68,Paragraph,Source,"DUDH, Art. 3; Convenios de la OIT sobre seguridad y salud en el trabajo.",1,9,68,
69,Heading,Heading,"2.1 Principios Rectores de la ONU (Proteger, Respetar, Remediar)",2,,69,
70,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_10_proteger_respetar_remediar.png,2,10,70,ddhh_10_proteger_respetar_remediar
71,Paragraph,,"Principios Rectores ONU (2011): Proteger (Estado), Respetar (empresa) y Remediar.",2,10,71,
72,Multiple Choice Question,,,2,10,72,
73,Paragraph,,"Los Principios Rectores de la ONU (2011) se organizan en tres pilares: 'Proteger, Respetar y Remediar'. El Estado tiene el deber de proteger los Derechos Humanos frente a abusos, incluidos los de terceros; las empresas tienen la responsabilidad de respetarlos, es decir, de no vulnerarlos y de gestionar sus impactos; y debe existir acceso a mecanismos de remediación para las personas afectadas. Son el estándar internacional de referencia para la conducta empresarial responsable. Para Minsur fijan con claridad su rol: respetar y, cuando corresponda, contribuir a remediar, sin sustituir ni evadir al Estado.",2,10,73,
74,Paragraph,,"B y C distorsionan el reparto de roles: la empresa ni sustituye al Estado ni queda exenta de responsabilidad. D limita indebidamente el respeto solo al personal propio, cuando abarca toda la operación y la cadena de valor. E contradice el tercer pilar: la remediación no es opcional.",2,10,74,
75,Paragraph,Exercise,Identifica los tres pilares y la distribución de roles de los Principios Rectores.,2,10,75,
76,Paragraph,Source,Principios Rectores de la ONU sobre Empresas y Derechos Humanos (2011).,2,10,76,
77,Heading,Heading,2.2 Responsabilidad de respetar y cadena de valor,2,,77,
78,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_11_respetar_alcance.png,2,11,78,ddhh_11_respetar_alcance
79,Paragraph,,"Respetar = no vulnerar directa ni indirectamente, también en la cadena de valor.",2,11,79,
80,Multiple Choice Question,,,2,11,80,
81,Paragraph,,"La responsabilidad de respetar significa, ante todo, no causar ni contribuir a impactos negativos sobre los Derechos Humanos ('no hacer daño'). Pero va más allá de las acciones propias: la empresa también debe procurar prevenir o mitigar los impactos directamente relacionados con sus operaciones, productos o servicios a través de sus relaciones comerciales, incluidos proveedores y contratistas. Es una responsabilidad activa y preventiva, no pasiva: implica conocer los riesgos y actuar antes de que ocurra el daño, en toda la cadena de valor. Para Minsur, respetar no termina en el cerco de la mina.",2,11,81,
82,Paragraph,,"B reduce el respeto a una cuestión de imagen. C lo limita al personal directo, excluyendo la cadena de valor. D evade la responsabilidad propia. E es reactivo: esperar la denuncia contradice el carácter preventivo del respeto.",2,11,82,
83,Paragraph,Exercise,"Comprende el alcance de la responsabilidad de respetar, incluida la cadena de valor.",2,11,83,
84,Paragraph,Source,"Principios Rectores de la ONU (2011), responsabilidad de respetar (Principios 11-13).",2,11,84,
85,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_12_responsabilidad_cadena_valor.png,2,12,85,ddhh_12_responsabilidad_cadena_valor
86,Paragraph,,"Causar, contribuir o estar vinculado: en los tres casos hay responsabilidad de actuar.",2,12,86,
87,Multiple Choice Question,,,2,12,87,
88,Paragraph,,"Los Principios Rectores distinguen tres formas de relación con un impacto: causarlo, contribuir a él o estar directamente vinculado a través de las relaciones comerciales. La respuesta esperada varía, pero en todos los casos hay responsabilidad: si la empresa causa o contribuye, debe cesar el daño y remediar; si está vinculada por un proveedor, debe usar su capacidad de influencia (cláusulas, evaluaciones, planes de mejora, e incluso terminar la relación) para que cese. Para Minsur, tercerizar una actividad no terceriza la responsabilidad: los impactos de contratistas y proveedores siguen estando dentro de su esfera de gestión.",2,12,88,
89,Paragraph,,"B y E niegan la responsabilidad sobre terceros, ignorando la categoría 'directamente vinculado'. C confunde tercerizar con desligarse: la influencia subsiste. D condiciona la acción a una sentencia, cuando la responsabilidad de respetar no depende de un fallo judicial.",2,12,89,
90,Paragraph,Exercise,"Distingue causar, contribuir y estar vinculado, y reconoce la responsabilidad en la cadena.",2,12,90,
91,Paragraph,Source,"Principios Rectores de la ONU (2011), Principio 13 y 19 (causar, contribuir, vinculación).",2,12,91,
92,Heading,Heading,2.3 Debida diligencia en Derechos Humanos,2,,92,
93,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_13_debida_diligencia_concepto.png,2,13,93,ddhh_13_debida_diligencia_concepto
94,Paragraph,,"Debida diligencia: identificar, prevenir/mitigar, hacer seguimiento y rendir cuentas.",2,13,94,
95,Multiple Choice Question,,,2,13,95,
96,Paragraph,,"La debida diligencia en Derechos Humanos es un proceso continuo y preventivo: la empresa identifica y evalúa sus impactos reales y potenciales, integra los hallazgos y actúa para prevenirlos o mitigarlos, hace seguimiento de la eficacia de esas medidas y comunica cómo los aborda. No es un trámite puntual ni una auditoría financiera: es un ciclo que se repite porque los riesgos cambian con las operaciones y los contextos. Su finalidad es anticiparse al daño a las personas antes de que ocurra. En Minsur articula todo el sistema: política, evaluación de riesgos, planes de mitigación y mecanismos de reclamación.",2,13,96,
97,Paragraph,,B confunde el proceso con un objetivo productivo. C lo reduce a lo financiero. D contradice su esencia preventiva: no es solo reaccionar. E lo vacía de contenido: documentar sin actuar no es debida diligencia.,2,13,97,
98,Paragraph,Exercise,Reconoce la debida diligencia como ciclo preventivo de gestión de impactos.,2,13,98,
99,Paragraph,Source,"Principios Rectores de la ONU (2011), Principios 17-21; Líneas Directrices de la OCDE.",2,13,99,
100,Heading,Heading,3.1 Política de DDHH y Código de Ética,3,,100,
101,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_14_sistema_debida_diligencia.png,3,14,101,ddhh_14_sistema_debida_diligencia
102,Paragraph,,"El sistema integra compromiso, capacitación, evaluación, mitigación y reclamación.",3,14,102,
103,Multiple Choice Question,,,3,14,103,
104,Paragraph,,"Un sistema de debida diligencia no es una acción aislada, sino un conjunto de elementos coordinados que se refuerzan: un compromiso político de alto nivel (política y código), capacitación para que las personas reconozcan y actúen, evaluación periódica de riesgos e impactos, planes de mitigación para reducir o eliminar esos impactos, y mecanismos de reclamación para recibir, investigar y responder quejas. En Minsur, estos componentes operan como un ciclo: lo que se detecta en una evaluación alimenta los planes, y lo que llega por el canal de denuncias retroalimenta el sistema y la mejora continua.",3,14,104,
105,Paragraph,,"B, C, D y E reducen el sistema a un solo componente (auditorías, sanciones, comunicados o metas). La debida diligencia es integral: ninguno de esos elementos por sí solo basta para prevenir y gestionar impactos.",3,14,105,
106,Paragraph,Exercise,Reconoce los componentes integrados del sistema de debida diligencia.,3,14,106,
107,Paragraph,Source,Principios Rectores de la ONU (2011); sistema de gestión de DDHH de Minsur.,3,14,107,
108,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_15_politica_codigo.png,3,15,108,ddhh_15_politica_codigo
109,Paragraph,,"El compromiso se formaliza en la Política de DDHH y el Código de Ética, al más alto nivel.",3,15,109,
110,Multiple Choice Question,,,3,15,110,
111,Paragraph,,"El compromiso de una empresa con los Derechos Humanos se formaliza en un compromiso político de alto nivel, normalmente una Política de Derechos Humanos reforzada por el Código de Ética o de Conducta. Estos documentos declaran públicamente el compromiso, fijan principios y expectativas, y aplican a todos los colaboradores y, en lo pertinente, a contratistas y proveedores. Que estén aprobados por la alta dirección les da respaldo y los convierte en el marco que orienta las decisiones y la conducta esperada. Para Minsur, son la referencia formal que traduce el compromiso en obligaciones concretas para toda la organización.",3,15,111,
112,Paragraph,,"B, C y D corresponden a documentos operativos, financieros o contractuales que no son el instrumento donde se declara el compromiso en DDHH. E carece de la formalidad y permanencia de una política aprobada al más alto nivel.",3,15,112,
113,Paragraph,Exercise,Identifica los instrumentos que formalizan el compromiso institucional en DDHH.,3,15,113,
114,Paragraph,Source,"Principios Rectores de la ONU (2011), compromiso político (Principio 16); Política de DDHH y Código de Ética de Minsur.",3,15,114,
115,Heading,Heading,"3.2 Gobernanza, comités y roles",3,,115,
116,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_16_gobernanza_comites.png,3,16,116,ddhh_16_gobernanza_comites
117,Paragraph,,La gobernanza requiere comités y roles claros que supervisen y mejoren el sistema.,3,16,117,
118,Multiple Choice Question,,,3,16,118,
119,Paragraph,,"Las políticas escritas no bastan por sí solas: la debida diligencia exige gobernanza, es decir, comités, comités de ética o de diversidad, y roles con responsabilidades claras que aseguren que el compromiso se cumple en la práctica. Estos espacios supervisan la aplicación de las políticas, impulsan planes preventivos, hacen seguimiento a las acciones correctivas y rinden cuentas. Para Minsur, contar con esta estructura evita que la Política de DDHH quede en el papel: alguien debe ser responsable de monitorear los riesgos, dar seguimiento a los casos y promover la mejora continua del sistema.",3,16,119,
120,Paragraph,,"B contradice su función: los comités velan por el cumplimiento, no autorizan excepciones. C los confunde con evaluación de desempeño. D corresponde a una función presupuestal. E es incorrecto: la gobernanza complementa el canal de denuncias, no lo sustituye.",3,16,120,
121,Paragraph,Exercise,Reconoce el rol de los comités y la asignación de responsabilidades en la gobernanza de DDHH.,3,16,121,
122,Paragraph,Source,"Principios Rectores de la ONU (2011), integración y rendición de cuentas (Principios 16, 19, 21).",3,16,122,
123,Heading,Heading,3.3 Diversidad e inclusión,3,,123,
124,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_17_diversidad_inclusion.png,3,17,124,ddhh_17_diversidad_inclusion
125,Paragraph,,"Diversidad e inclusión: entornos respetuosos, igualdad de oportunidades, sin discriminación.",3,17,125,
126,Multiple Choice Question,,,3,17,126,
127,Paragraph,,"Un comité o programa de diversidad e inclusión busca construir entornos donde todas las personas sean tratadas con respeto y tengan igualdad de oportunidades, previniendo la discriminación, el acoso y el hostigamiento. En la minería, sector históricamente masculinizado, estos espacios impulsan la incorporación equitativa de mujeres y de grupos diversos y promueven una cultura de respeto. Forman parte de la gobernanza de DDHH de Minsur: no se trata de favorecer a unos sobre otros, sino de remover barreras y asegurar las mismas oportunidades y un trato digno para todos, lo que también fortalece el clima y el desempeño de los equipos.",3,17,127,
128,Paragraph,,"B y C nada tienen que ver con inclusión (reducir personal o sancionar). D malinterpreta la inclusión como favoritismo, cuando su objetivo es la igualdad de oportunidades. E corresponde a un rol operativo, ajeno a la gestión de diversidad.",3,17,128,
129,Paragraph,Exercise,Reconoce el propósito de la diversidad e inclusión en la gobernanza de DDHH.,3,17,129,
130,Paragraph,Source,"Principio de igualdad y no discriminación (DUDH, Art. 2 y 7); Convenios de la OIT; políticas de diversidad e inclusión.",3,17,130,
131,Heading,Heading,3.4 Capacitación y cultura,3,,131,
132,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_18_capacitacion_cultura.png,3,18,132,ddhh_18_capacitacion_cultura
133,Paragraph,,"La capacitación llega a propios y contratistas: reconocer riesgos, actuar y crear cultura.",3,18,133,
134,Multiple Choice Question,,,3,18,134,
135,Paragraph,,"La capacitación traduce la política en práctica: desarrolla la capacidad de las personas para reconocer riesgos e impactos a los Derechos Humanos en su trabajo diario y para actuar correctamente, por ejemplo identificando una situación de discriminación, una condición insegura o un caso que debe canalizarse. Por eso se dirige no solo al personal propio, sino también a contratistas, que son parte del entorno de la operación. Más allá del cumplimiento, su fin es construir una cultura de respeto en Minsur, donde la prevención y el reporte de buena fe sean parte natural de cómo se trabaja.",3,18,135,
136,Paragraph,,"B la vacía de sentido (mero trámite). C confunde el objetivo: capacitar no busca que haya menos denuncias, sino mejores decisiones; de hecho puede aumentar el reporte de buena fe. D y E le atribuyen fines ajenos (evitar auditorías, subir producción).",3,18,136,
137,Paragraph,Exercise,Reconoce el propósito y el alcance (propios y contratistas) de la capacitación en DDHH.,3,18,137,
138,Paragraph,Source,"Principios Rectores de la ONU (2011), integración y cultura (Principio 16); programa de capacitación de Minsur.",3,18,138,
139,Heading,Heading,4.1 Identificación y evaluación de riesgos e impactos,4,,139,
140,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_19_severidad_riesgo.png,4,19,140,ddhh_19_severidad_riesgo
141,Paragraph,,"El riesgo en DDHH se prioriza por la severidad para las personas, no por el costo para la empresa.",4,19,141,
142,Multiple Choice Question,,,4,19,142,
143,Paragraph,,"En la gestión tradicional de riesgos el foco está en el impacto para la empresa (costos, activos, reputación). En Derechos Humanos, en cambio, el foco está en las personas: un riesgo se prioriza por su severidad para quienes podrían verse afectados, medida por tres factores: el alcance (cuántas personas), la gravedad (qué tan serio es el daño) y la reversibilidad (si puede repararse). Un riesgo o impacto es crítico cuando puede afectar la dignidad, la salud, la integridad o la vida, aunque su impacto económico para la empresa sea bajo. Para Minsur, esto cambia el criterio de priorización: primero las personas.",4,19,143,
144,Paragraph,,"B, C, D y E miran el riesgo desde la perspectiva de la empresa o de la operación (rentabilidad, activos, tiempo, número de reportes), no desde el impacto en las personas, que es el criterio propio de los Derechos Humanos.",4,19,144,
145,Paragraph,Exercise,"Prioriza el enfoque en las personas y la severidad (alcance, gravedad, reversibilidad) al evaluar un riesgo en DDHH.",4,19,145,
146,Paragraph,Source,"Principios Rectores de la ONU (2011), Principio 14 y 24 (severidad: alcance, gravedad, reversibilidad).",4,19,146,
147,Heading,Heading,"4.4 Seguimiento, auditoría y mejora continua",4,,147,
148,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_20_matriz_historial.png,4,20,148,ddhh_20_matriz_historial
149,Paragraph,,La matriz se actualiza periódicamente; el historial de quejas revela patrones y alimenta la mejora.,4,20,149,
150,Multiple Choice Question,,,4,20,150,
151,Paragraph,,"La debida diligencia es un ciclo, no un acto único: los riesgos cambian con las operaciones, los contextos y las relaciones comerciales, por lo que la matriz de riesgos debe actualizarse de forma periódica. Revisar el historial de quejas y denuncias es una fuente valiosa de aprendizaje: permite detectar patrones recurrentes —por ejemplo, reclamos repetidos en una misma área o con un mismo contratista— y anticipar impactos antes de que se agraven. En Minsur, este seguimiento alimenta la mejora continua: lo aprendido se traduce en nuevos controles, ajustes a los planes y refuerzos de capacitación.",4,20,151,
152,Paragraph,,"B y C distorsionan el propósito: el historial sirve para aprender y prevenir, no para cerrar sin investigar ni para sancionar de forma automática. D y E le atribuyen efectos ajenos (reducir reportes o reemplazar la capacitación).",4,20,152,
153,Paragraph,Exercise,"Reconoce el seguimiento, la actualización de riesgos y el uso del historial como mejora continua.",4,20,153,
154,Paragraph,Source,"Principios Rectores de la ONU (2011), seguimiento y mejora continua (Principios 20 y 29).",4,20,154,
155,Heading,Heading,4.2 Planes de mitigación,4,,155,
156,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_21_planes_mitigacion.png,4,21,156,ddhh_21_planes_mitigacion
157,Paragraph,,"Los planes de mitigación prevén, reducen o eliminan impactos, con responsables y plazos.",4,21,157,
158,Multiple Choice Question,,,4,21,158,
159,Paragraph,,"Identificar un riesgo no basta: la debida diligencia exige actuar. Cuando una evaluación detecta un impacto real o potencial relevante, se diseña un plan de acción o mitigación con medidas concretas para prevenirlo, reducirlo o eliminarlo, asignando responsables, recursos y plazos, y haciendo seguimiento a su eficacia. Los programas internos de Minsur —por ejemplo en seguridad, relación con comunidades o gestión de contratistas— son parte de estas medidas de mitigación. La clave es que el plan cierre la brecha entre el riesgo detectado y una situación gestionada, y que su cumplimiento se verifique.",4,21,159,
160,Paragraph,,"B contradice la gestión preventiva (no se eliminan controles). C es insuficiente: documentar no es mitigar. D traslada indebidamente la responsabilidad a los trabajadores. E desvía el propósito hacia la producción, ajeno a la mitigación de impactos.",4,21,160,
161,Paragraph,Exercise,"Reconoce la finalidad y los elementos de un plan de mitigación (medidas, responsables, plazos).",4,21,161,
162,Paragraph,Source,"Principios Rectores de la ONU (2011), integración y acción (Principios 19 y 22).",4,21,162,
163,Heading,Heading,4.3 Cadena de suministro y contratistas,4,,163,
